ID;Активен;Имя;Категория;Цена;"Отображать цену";Бренд;Штрихкод;Сводка;Описание;"URL изображений"
1;1;"Винный холодильник KWT6112iG obsw чёрный обсидиан";"Холодильники и морозильники";199900;1;Miele;4002515976845;"Дверной упор: снизу<br> Без ручек - технология Push2Open<br> Светодиодное освещение<br> Фильтр Active AirClean и индикатор замены<br> Амортизатор двери SoftClose<br> Управление: TouchControl<br> 3 полки ( две из них FlexiFrame Plus)<br> DynaCool<br> Размеры ниши (В х Ш): 450-452 х 560-568 мм
Страна-производитель: Германия<br> гарантия 2 года
Сертификат соответствия номер RU C-DE.ME10.B.04069<br> срок действия с 06.06.2016 по 05.06.2021<br> выдавший орган: ...";"Дверной упор: снизу, Без ручек - технология Push2Open, Светодиодное освещение, Фильтр Active AirClean и индикатор замены, Амортизатор двери SoftClose, Управление: TouchControl, 3 полки ( две из них FlexiFrame Plus), DynaCool, Размеры ниши (В х Ш): 450-452 х 560-568 мм
Страна-производитель: Германия, гарантия 2 года
Сертификат соответствия номер RU C-DE.ME10.B.04069, срок действия с 06.06.2016 по 05.06.2021, выдавший орган:  ТЕСТБЭТ.";https://www.miele-shop.ru/FileStorage/GetImage/0BB8CF06-71CB-E711-A393-00155D65482A,https://www.miele-shop.ru/FileStorage/GetImage/17F5F63D-71CB-E711-A393-00155D65482A
2;1;"Винный холодильник KWT6112iG grgr графитовый серый";"Холодильники и морозильники";199900;1;Miele;4002515976852;"Дверной упор: снизу<br> Без ручек - технология Push2Open<br> Светодиодное освещение<br> Фильтр Active AirClean и индикатор замены<br> Амортизатор двери SoftClose<br> Управление: TouchControl<br> 3 полки ( две из них FlexiFrame Plus)<br> DynaCool<br> Размеры ниши (В х Ш): 450-452 х 560-568 мм
Страна-производитель: Германия<br> гарантия 2 года
Сертификат соответствия номер RU C-DE.ME10.B.04069<br> срок действия с 06.06.2016 по 05.06.2021<br> выдавший орган: ...";"Дверной упор: снизу, Без ручек - технология Push2Open, Светодиодное освещение, Фильтр Active AirClean и индикатор замены, Амортизатор двери SoftClose, Управление: TouchControl, 3 полки ( две из них FlexiFrame Plus), DynaCool, Размеры ниши (В х Ш): 450-452 х 560-568 мм
Страна-производитель: Германия, гарантия 2 года
Сертификат соответствия номер RU C-DE.ME10.B.04069, срок действия с 06.06.2016 по 05.06.2021, выдавший орган:  ТЕСТБЭТ.";https://www.miele-shop.ru/FileStorage/GetImage/4F1E7DFD-70CB-E711-A393-00155D65482A,https://www.miele-shop.ru/FileStorage/GetImage/27A54536-71CB-E711-A393-00155D65482A
3;1;"Сушильная машина TDB220WP серии T1 Active";"Сушильные машины";59900;1;Miele;4002515938614;"Загрузка 7 кг · 7-сегментный дисплей · 9 программ сушки  · Подсветка барабана · PerfectDry · FragranceDos · Возможность установки в колонну (использовать WTV501/511) · Тепловая помпа · Отсрочка старта · Индикация остаточного времени · Прямая панель управления · Дверной упор слева
ВНИМАНИЕ! Дверца - белая непрозрачная<br> с белой окантовкой. 
Габариты Ш х В х Г в мм: 596 x 850 x 636
Страна-производитель: Чехия
Гарантия: 2 года
Сертификат соответствия номер RU C-DE.АЯ46.B.80354<br> срок действия с...";"Загрузка 7 кг · 7-сегментный дисплей · 9 программ сушки  · Подсветка барабана · PerfectDry · FragranceDos · Возможность установки в колонну (использовать WTV501/511) · Тепловая помпа · Отсрочка старта · Индикация остаточного времени · Прямая панель управления · Дверной упор слева
ВНИМАНИЕ! Дверца - белая непрозрачная, с белой окантовкой. 
Габариты Ш х В х Г в мм: 596 x 850 x 636
Страна-производитель: Чехия
Гарантия: 2 года
Сертификат соответствия номер RU C-DE.АЯ46.B.80354, срок действия с 09.06.2017 по 08.06.2022, выдавший орган:  ТЕСТБЭТ.";https://www.miele-shop.ru/FileStorage/GetImage/07C26CAB-AE88-E711-A73B-00155D65482A,https://www.miele-shop.ru/FileStorage/GetImage/F6A5EDD3-AE88-E711-A73B-00155D65482A
4;1;"Сушильная машина TDD230WP серии T1 Active";"Сушильные машины";64900;1;Miele;4002515940730;"Загрузка 8 кг · 7-сегментный дисплей · 9 программ сушки  · Подсветка барабана · PerfectDry · FragranceDos · Возможность установки в колонну (использовать WTV501/511) · Тепловая помпа · Отсрочка старта · Индикация остаточного времени · Наклонная панель управления · Дверной упор слева
ВНИМАНИЕ! Дверца - белая непрозрачная<br> с белой окантовкой. 
Габариты Ш х В х Г в мм: 596 x 850 x 636
Страна-производитель: Чехия
Гарантия: 2 года
Сертификат соответствия номер RU C-DE.АЯ46.B.80354<br> срок действия с...";"Загрузка 8 кг · 7-сегментный дисплей · 9 программ сушки  · Подсветка барабана · PerfectDry · FragranceDos · Возможность установки в колонну (использовать WTV501/511) · Тепловая помпа · Отсрочка старта · Индикация остаточного времени · Наклонная панель управления · Дверной упор слева
ВНИМАНИЕ! Дверца - белая непрозрачная, с белой окантовкой. 
Габариты Ш х В х Г в мм: 596 x 850 x 636
Страна-производитель: Чехия
Гарантия: 2 года
Сертификат соответствия номер RU C-DE.АЯ46.B.80354, срок действия с 09.06.2017 по 08.06.2022, выдавший орган:  ТЕСТБЭТ.";https://www.miele-shop.ru/FileStorage/GetImage/09358004-6B7B-E711-96F2-00155D65482A,https://www.miele-shop.ru/FileStorage/GetImage/EDE6C4E7-6A7B-E711-96F2-00155D65482A
5;1;"Сушильная машина TCE520WP Active";"Сушильные машины";79900;1;Miele;4002515937587;"Загрузка 8 кг · 7-сегментный дисплей с сенсорными кнопками  · 9 программ сушки  · Подсветка барабана · PerfectDry · FragranceDos · Возможность установки в колонну (использовать WTV) · Тепловая помпа · Отсрочка старта · Индикация остаточного времени · PIN-код· Прямая панель управления · Дверной упор слева
Габариты (ШхВхГ)<br> см. : 59<br>6 x 85<br>0 x 63<br>6
Страна-производитель: Чехия
Гарантия: 2 года
Сертификат соответствия номер RU C-DE.АЯ46.B.80354<br> срок действия с 09.06.2017 по 08.06.2022<br> выдавший...";"Загрузка 8 кг · 7-сегментный дисплей с сенсорными кнопками  · 9 программ сушки  · Подсветка барабана · PerfectDry · FragranceDos · Возможность установки в колонну (использовать WTV) · Тепловая помпа · Отсрочка старта · Индикация остаточного времени · PIN-код· Прямая панель управления · Дверной упор слева
Габариты (ШхВхГ), см. : 59,6 x 85,0 x 63,6
Страна-производитель: Чехия
Гарантия: 2 года
Сертификат соответствия номер RU C-DE.АЯ46.B.80354, срок действия с 09.06.2017 по 08.06.2022, выдавший орган: ТЕСТБЭТ.";https://www.miele-shop.ru/FileStorage/GetImage/AC34A0D0-1D8F-E711-A73B-00155D65482A,https://www.miele-shop.ru/FileStorage/GetImage/39EE0BA3-1D8F-E711-A73B-00155D65482A
6;1;"Кофемашина CM5300 черный обсидиан OBSW";Кофемашины;65900;1;Miele;4002515938232;"Управление с помощью сенсорных кнопок DirectSensor; Автоматические программы<br> в т.ч. для приготовления напитков на основе молока; Приготовление напитка ‘Ристретто’; Функции OneTouch и OneTouch for Two; Использование второго сорта кофе (молотого)<br> настройка степени помола; Автоматическая промывка молочных трубок; Съемный заварной механизм; Емкость для свежей воды 1<br>3 л; Контейнер для кофейных зерен 200 г; Функция «Кофе в кофейник»;  Термос из нержавеющей стали MB-CM ПРИОБРЕТАЕТСЯ ДОПОЛНИТЕЛЬНО;...";"Управление с помощью сенсорных кнопок DirectSensor; Автоматические программы, в т.ч. для приготовления напитков на основе молока; Приготовление напитка ‘Ристретто’; Функции OneTouch и OneTouch for Two; Использование второго сорта кофе (молотого), настройка степени помола; Автоматическая промывка молочных трубок; Съемный заварной механизм; Емкость для свежей воды 1,3 л; Контейнер для кофейных зерен 200 г; Функция «Кофе в кофейник»;  Термос из нержавеющей стали MB-CM ПРИОБРЕТАЕТСЯ ДОПОЛНИТЕЛЬНО; Страна-производитель: Швейцария, Гарантия 2 года.
Сертификат соответствия номер ТС RU C-DE.АЯ46.B.81999, срок действия с 12.09.2017 по 11.09.2020, выдавший орган:  РОСТЕСТ.";https://www.miele-shop.ru/FileStorage/GetImage/68A150B7-E1B4-E711-B81E-00155D65482A
7;1;"Кофемашина CM5300 ежевичный красный BRRT";Кофемашины;65900;1;Miele;4002515938287;"Управление с помощью сенсорных кнопок DirectSensor; Автоматические программы<br> в т.ч. для приготовления напитков на основе молока; Приготовление напитка ‘Ристретто’; Функции OneTouch и OneTouch for Two; Использование второго сорта кофе (молотого)<br> настройка степени помола; Автоматическая промывка молочных трубок; Съемный заварной механизм; Емкость для свежей воды 1<br>3 л; Контейнер для кофейных зерен 200 г; Функция «Кофе в кофейник»;  Термос из нержавеющей стали MB-CM ПРИОБРЕТАЕТСЯ ДОПОЛНИТЕЛЬНО;...";"Управление с помощью сенсорных кнопок DirectSensor; Автоматические программы, в т.ч. для приготовления напитков на основе молока; Приготовление напитка ‘Ристретто’; Функции OneTouch и OneTouch for Two; Использование второго сорта кофе (молотого), настройка степени помола; Автоматическая промывка молочных трубок; Съемный заварной механизм; Емкость для свежей воды 1,3 л; Контейнер для кофейных зерен 200 г; Функция «Кофе в кофейник»;  Термос из нержавеющей стали MB-CM ПРИОБРЕТАЕТСЯ ДОПОЛНИТЕЛЬНО; Страна-производитель: Швейцария, Гарантия 2 года.
Сертификат соответствия номер ТС RU C-DE.АЯ46.B.81999, срок действия с 12.09.2017 по 11.09.2020, выдавший орган:  РОСТЕСТ.";https://www.miele-shop.ru/FileStorage/GetImage/D2D26F84-E1B4-E711-B81E-00155D65482A
8;1;"Кофемашина CM5500 розовое золото ROPF";Кофемашины;75900;1;Miele;4002515938553;"• Управление с помощью сенсорных кнопок DirectSensor;<br>
• Автоматические программы<br> в т.ч. для приготовления напитков на основе молока;<br>
• Приготовление напитка ‘Ристретто’;<br>
• Функции OneTouch и OneTouch for Two;<br>
• Использование второго сорта кофе (молотого)<br> настройка степени помола;<br>
• Автоматическая промывка молочных трубок;<br>
• Съемный заварной механизм;<br>
• 2 программируемых профиля;<br>
• Емкость для свежей воды 1<br>3 л;<br>
• Контейнер для кофейных зерен 200...";"• Управление с помощью сенсорных кнопок DirectSensor;<br>
• Автоматические программы, в т.ч. для приготовления напитков на основе молока;<br>
• Приготовление напитка ‘Ристретто’;<br>
• Функции OneTouch и OneTouch for Two;<br>
• Использование второго сорта кофе (молотого), настройка степени помола;<br>
• Автоматическая промывка молочных трубок;<br>
• Съемный заварной механизм;<br>
• 2 программируемых профиля;<br>
• Емкость для свежей воды 1,3 л;<br>
• Контейнер для кофейных зерен 200 г;<br>
• Функция «Кофе в кофейник»;<br>
• Термос из нержавеющей стали MB-CM ПРИОБРЕТАЕТСЯ ДОПОЛНИТЕЛЬНО;<br>
• Страна-производитель: Швейцария, Гарантия 2 года.<br>
<br>
Сертификат соответствия номер ТС RU C-DE.АЯ46.B.81999, срок действия с 12.09.2017 по 11.09.2020, выдавший орган:  РОСТЕСТ.";https://www.miele-shop.ru/FileStorage/GetImage/1154A5C6-DDB4-E711-B81E-00155D65482A
9;1;"Профессиональная стиральная машина PW6080/сл.клапан, сталь";"Стиральные машины";457000;1;Miele;4002514683270;"Загрузка 8 кг • объем сотового барабана 80 л • отжим 1300 об/мин • g-фактор: 520 •  70 стандартных программ включая пакеты специальных программ для различных целевых групп («Спорт»<br> «Аквачистка»<br> «Конюшня» «Кухонное и ресторанное белье» «Отель» «Шерсть и шелк ручная стирка» т.п); возможность создания до 5 индивидуальных программ • подключение к холодной и горячей воде • электропитание 380 В •  Отсрочка старта · Индикация остаточного времени •Освещение барабана  · Сливной клапан DN70 - ТОЛЬКО ДЛЯ...";;https://www.miele-shop.ru/FileStorage/GetImage/D5F05504-7776-E211-85C8-00155D101C02
10;1;"Вытяжка DA7090W   BRWS/SW  ";Вытяжки;89900;1;Miele;4002514940656;"Ширина: 90 см; производительность (интенс.): 550 м3/час; корпус из черного и белого стекла; скоростные режимы: 3 + интенсивный; автоматическое отключение интенсивной ступени мощности; галогенное освещение<br> 2 х 20 Вт с диммером; сенсорные кнопки со светодиодными индикаторами; остаточный ход мотора; мотор с односторонним всасыванием; 2 съемных жировых фильтра; страна-производитель: Германия<br> гарантия 2...";"Ширина: 90 см; производительность (интенс.): 550 м3/час; корпус из черного и белого стекла; скоростные режимы: 3 + интенсивный; автоматическое отключение интенсивной ступени мощности; галогенное освещение, 2 х 20 Вт с диммером; сенсорные кнопки со светодиодными индикаторами; остаточный ход мотора; мотор с односторонним всасыванием; 2 съемных жировых фильтра; страна-производитель: Германия, гарантия 2 года";https://www.miele-shop.ru/FileStorage/GetImage/FBC2FB98-FA4E-E011-8510-00155D101C02
